team,conf,seed,barthag,adj_o,adj_d,adj_t,wab,year,barthag_z,adj_o_z,adj_d_z,adj_t_z,wab_z
Georgetown,BE,3,0.912402,115.799,94.4522,66.67,4.2861349977904,2010,-0.2653153313735878,0.10228530229545137,0.3731472404952911,-0.2372866181004761,-1.3381347516074347
Clemson,ACC,7,0.911256,110.359,90.1259,69.4893,1.5056468198233,2010,1.0187933494758226,-0.6435841195459759,-1.6936837374636924,1.1206888112394955,-0.9924248142727042
Villanova,BE,2,0.911202,116.549,95.1867,72.2932,5.5270797715309,2010,-1.9074873066198303,-0.22467765483042842,0.8078593581166279,1.484901335636374,-1.750232618174987
Missouri,B12,10,0.910816,111.169,90.8302,70.6164,1.629136131643,2010,1.4721277671561368,-0.07108339473755693,-1.1973595090830202,1.192820160957969,0.28030093681949386
Xavier,A10,6,0.910385,115.604,94.4981,69.8265,2.8276877340933,2010,0.7100371863622161,0.7503201852825091,0.13505576697363625,1.073785391892395,-0.4739810909988192
Temple,A10,5,0.909115,107.176,87.7266,61.5327,5.3327663500888,2010,0.19361826011828673,-1.3529075050271333,-1.4091813965999516,-1.7855717024495306,1.1229734949202097
Texas,B12,8,0.90908,113.111,92.588,72.7355,3.8809135172462,2010,1.2682684589340614,0.2624959524812189,-0.6729427216539126,1.8004343978299029,1.2684654704525828
Michigan St.,B10,5,0.906255,112.494,92.3527,66.7726,3.5163470311728,2010,0.08184552220290903,-0.1819580831864353,-0.15650530676814195,0.037599565731639695,-0.5524267109860137
Marquette,BE,6,0.905015,114.47,94.0937,64.06,1.7595166991326,2010,0.5624055424595834,0.45137663763109853,0.0051606849279584146,-1.1200798221585484,-1.3629959157089524
Minnesota,B10,11,0.90364,113.467,93.3985,67.1192,-0.33484581770211,2010,1.3717807338304666,0.5642378388435583,-0.8053180385603488,0.06275410436415961,-0.7465337772889956
