team,pake,pase,wins,loss,w_percent,r64,r32,s16,e8,f4,f2,champ,top2,f4_percent,champ_percent,from,to
VCU,-0.4,-1,7,11,0.389,11,4,1,1,1,0,0,0,21.8,2.5,2008,2023
Oakland,-0.5,-0.4,0,2,0,2,0,0,0,0,0,0,0,0.6,0,2008,2023
American,-0.5,-0.4,0,3,0,3,0,0,0,0,0,0,0,0.2,0,2008,2023
Eastern Washington,-0.5,-0.4,0,2,0,2,0,0,0,0,0,0,0,0.1,0,2008,2023
Chattanooga,-0.5,-0.8,0,3,0,3,0,0,0,0,0,0,0,0.3,0,2008,2023
Colorado St.,-0.5,-1.4,1,3,0.25,3,1,0,0,0,0,0,0,2.6,0.3,2008,2023
Old Dominion,-0.6,-0.4,1,3,0.25,3,1,0,0,0,0,0,0,4.4,0.4,2008,2023
UTEP,-0.6,-0.5,0,1,0,1,0,0,0,0,0,0,0,2.2,0.2,2008,2023
George Washington,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,1.2,0.1,2008,2023
Long Beach St.,-0.6,-0.5,0,1,0,1,0,0,0,0,0,0,0,1.6,0.2,2008,2023
Nebraska,-0.6,-0.7,0,1,0,1,0,0,0,0,0,0,0,1.3,0.1,2008,2023
Wake Forest,-0.6,-1.2,1,2,0.333,2,1,0,0,0,0,0,0,5.2,0.4,2008,2023
Charleston,-0.6,-0.8,0,2,0,2,0,0,0,0,0,0,0,0.7,0,2008,2023
Mississippi,-0.6,-0.9,1,3,0.25,3,1,0,0,0,0,0,0,3,0.2,2008,2023
Winthrop,-0.7,-1,0,3,0,3,0,0,0,0,0,0,0,0.2,0,2008,2023
UNC Wilmington,-0.7,-0.8,0,2,0,2,0,0,0,0,0,0,0,1,0,2008,2023
Wichita St.,-0.8,0.2,9,7,0.562,7,5,2,1,1,0,0,1,47.6,13.5,2008,2023
Utah,-0.8,-1.1,3,3,0.5,3,2,1,0,0,0,0,0,19.5,2.9,2008,2023
